year,Infant,Children,Youth,Adult,Elderly,Sum Prediction,Total_Populations,Province,DependencyRatio
2022,10951.381731117564,56315.41032886771,50847.223773573794,283333.89445539325,71359.72503054726,472807.63531949953,474868.95815336285,น่าน,0.41482450542149235
2023,10535.606948262077,55236.081454860665,49111.451806790006,281089.95073732146,74935.81367266546,470908.90461989964,473307.3083122597,น่าน,0.4261263004689726
2024,10119.871789509203,54329.04211993123,47051.78445156049,279326.15386995167,78695.27929337414,469522.13152432675,472053.853167967,น่าน,0.43858415779869425
2025,9704.13663075633,53422.00278500181,44992.11709633097,277562.35700258194,82454.74491408281,468135.35842875385,470800.3980236743,น่าน,0.4513373585548153
2026,9288.401472003457,52514.963450072384,42932.449741101445,275798.5601352122,86214.21053479149,466748.58533318096,469546.94287938165,น่าน,0.4643965314649079
2027,8872.666313250584,51607.92411514295,40872.78238587193,274034.76326784247,89973.67615550016,465361.8122376081,468293.487735089,น่าน,0.47777282145325134
2028,8456.93115449771,50700.88478021353,38813.11503064241,272270.9664004727,93733.14177620882,463975.0391420351,467040.0325907963,น่าน,0.49147792136312024
2029,8041.195995744836,49793.8454452841,36753.44767541289,270507.16953310295,97492.6073969175,462588.26604646235,465786.5774465036,น่าน,0.5055241060475273
2030,7625.460836991962,48886.80611035467,34693.780320183374,268743.3726657332,101252.07301762617,461201.4929508894,464533.122302211,น่าน,0.5199242690373355
2031,7209.72567823909,47979.76677542525,32634.112964953852,266979.5757983634,105011.53863833484,459814.71985531645,463279.66715791833,น่าน,0.5346919620169674
2032,6793.990519486216,47072.72744049582,30574.44560972433,265215.7789309937,108771.00425904352,458427.9467597436,462026.21201362566,น่าน,0.5498414373617581
2033,6378.255360733342,46165.6881055664,28514.778254494813,263451.98206362396,112530.4698797522,457041.1736641707,460772.756869333,น่าน,0.5653876940176049
2034,5962.520201980469,45258.648770636966,26455.110899265295,261688.1851962542,116289.93550046087,455654.4005685978,459519.3017250403,น่าน,0.5813465270333701
2035,5546.785043227595,44351.60943570754,24395.443544035774,259924.38832888444,120049.40112116953,454267.6274730249,458265.84658074763,น่าน,0.5977345810898785
